Code région;Nom de la région;Code département;Code arrondissement départemental;Code canton;Code commune;Nom de la commune;Population municipale;Population comptée à part;Population totale;Année recensement;Année utilisation;Code INSEE (commune ou arrondissement);Superficie de la commune;Statut;Code INSEE de la commune;Nom de la commune IGN;Nom du département IGN;Nom de la région;Code EPCI;Code EPCI;EPCI
04;La Réunion;974;2;26;417;Saint-Philippe;5114;54;5168;2008;2011;97417;154.47;Commune;97417;Saint-Philippe;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;94;412;Saint-Joseph;33509;464;33973;2006;2009;97412;177.85;Commune;97412;;;;;;
04;La Réunion;974;2;99;422;Le Tampon;73365;809;74174;2010;2013;97422;181.02;Commune;97422;Le Tampon;LA REUNION;LA REUNION;;;
04;La Réunion;974;4;95;413;Saint-Leu;32971;469;33440;2012;2015;97413;118.08;Commune;97413;Saint-Leu;LA REUNION;LA REUNION;249740101;249740101;CA Territoire de la Côte Ouest
04;La Réunion;974;4;91;407;Le Port;37558;255;37813;2011;2014;97407;16.16;Commune;97407;Le Port;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;01;404;L' Étang-Salé;14103;210;14313;2014;2017;97404;38.43;Commune;97404;L'Étang-Salé;LA REUNION;LA REUNION;249740077;249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires)
04;La Réunion;974;2;22;424;Cilaos;5994;96;6090;2008;2011;97424;84.4;Commune;97424;Cilaos;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;04;404;L' Étang-Salé;13484;206;13690;2009;2012;97404;38.43;Commune;97404;L'Étang-Salé;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;92;409;Saint-André;52956;354;53310;2008;2011;97409;54.28;Commune;97409;Saint-André;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;94;412;Saint-Joseph;35976;483;36459;2010;2013;97412;177.85;Commune;97412;;;;;;
04;La Réunion;974;1;30;418;Sainte-Marie;29951;342;30293;2010;2013;97418;88.65;Commune;97418;;;;;;
04;La Réunion;974;4;14;423;Les Trois-Bassins;7268;95;7363;2013;2016;97423;42.48;Commune;97423;;;;249740101;249740101;CA Territoire de la Côte Ouest
04;La Réunion;974;2;01;401;Les Avirons;11471;213;11684;2016;2019;97401;26.23;Commune;97401;Les Avirons;LA REUNION;LA REUNION;249740077;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires)
04;La Réunion;974;2;22;424;Cilaos;5838;98;5936;2006;2009;97424;84.4;Commune;97424;Cilaos;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;26;417;Saint-Philippe;5030;63;5093;2006;2009;97417;154.47;Commune;97417;Saint-Philippe;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;08;417;Saint-Philippe;5088;47;5135;2013;2016;97417;154.47;Commune;97417;Saint-Philippe;LA REUNION;LA REUNION;249740085;249740085;CA du Sud
04;La Réunion;974;1;30;418;Sainte-Marie;31596;403;31999;2012;2015;97418;88.65;Commune;97418;;;;249740119;249740119;CA Intercommunale du Nord de la Réunion
04;La Réunion;974;3;91;409;Saint-André;55730;465;56195;2015;2018;97409;54.28;Commune;97409;Saint-André;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est (Cirest)
04;La Réunion;974;4;97;415;Saint-Paul;105967;1497;107464;2015;2018;97415;240.51;Commune;97415;Saint-Paul;LA REUNION;LA REUNION;249740101;249740101;CA Territoire de la Côte Ouest (Tco)
